# q[1/nm]	S(q)
2.006199999999999997e-02 5.790555743004043715e-02
2.058400000000000160e-02 6.175248836981755973e-02
2.111099999999999782e-02 5.907797031384293823e-02
2.163399999999999698e-02 6.392232336111630664e-02
2.215400000000000008e-02 6.478506198164522834e-02
2.267100000000000365e-02 6.917576567260445841e-02
2.319500000000000034e-02 6.138146676470128404e-02
2.372099999999999903e-02 6.713457156459692876e-02
2.424400000000000166e-02 6.605216001500420486e-02
2.476400000000000129e-02 6.927486834067914101e-02
2.528299999999999992e-02 6.750207621328498109e-02
2.579899999999999902e-02 7.047341667978966606e-02
2.632499999999999771e-02 6.996826894726577983e-02
2.685200000000000087e-02 7.059240080550577279e-02
2.737299999999999803e-02 7.257403845446008805e-02
2.789200000000000013e-02 7.540529477714805195e-02
2.841099999999999876e-02 7.481146400986893319e-02
2.893300000000000038e-02 7.669492224853328988e-02
2.945699999999999708e-02 8.072828184990979428e-02
2.998400000000000024e-02 8.248167195826566767e-02
3.050399999999999986e-02 8.381421571635087886e-02
3.102000000000000243e-02 8.632699924917162926e-02
3.154400000000000259e-02 9.196434445815739045e-02
3.207000000000000128e-02 9.315612967333251893e-02
3.259399999999999797e-02 9.543314699642034549e-02
3.311399999999999760e-02 9.943638265983147095e-02
3.363300000000000317e-02 1.013890942345784391e-01
3.415300000000000280e-02 1.043729160999413152e-01
3.467800000000000049e-02 1.025028664920349941e-01
3.520199999999999718e-02 1.071009278818252225e-01
3.572200000000000375e-02 1.189741067081287879e-01
3.624299999999999744e-02 1.192441146228468002e-01
3.676299999999999707e-02 1.136710550375204798e-01
3.728599999999999970e-02 1.152270604088988792e-01
3.780899999999999539e-02 1.273905149665579550e-01
3.833200000000000496e-02 1.324925515914527341e-01
3.885500000000000065e-02 1.353305147566151723e-01
3.937200000000000422e-02 1.431386558910591189e-01
3.989199999999999691e-02 1.562841532784774168e-01
4.041499999999999954e-02 1.650290761180521759e-01
4.093800000000000217e-02 1.755761286485212069e-01
4.146099999999999786e-02 1.764543824675866290e-01
4.302799999999999681e-02 2.155857333803771203e-01
4.355000000000000537e-02 2.220496224961063803e-01
4.407099999999999906e-02 2.373817755036763399e-01
4.459099999999999869e-02 2.554093500797668947e-01
4.511099999999999832e-02 2.717784377245634486e-01
4.563399999999999401e-02 3.006652368463793024e-01
4.615799999999999764e-02 3.135403633151955805e-01
4.668100000000000027e-02 3.193368419488620269e-01
4.720200000000000090e-02 3.312368952865232252e-01
4.772099999999999953e-02 3.608947170071604704e-01
4.824400000000000216e-02 3.962915718405085053e-01
4.876799999999999885e-02 4.221557770930076670e-01
4.928899999999999948e-02 4.508363018707683412e-01
4.981000000000000011e-02 4.810038993902363003e-01
5.032999999999999974e-02 4.982839937397549601e-01
5.085100000000000731e-02 5.589387255401495613e-01
5.137599999999999806e-02 6.093048803727633134e-01
5.189699999999999869e-02 6.755635661942210879e-01
5.241599999999999732e-02 7.155722399604682593e-01
5.293400000000000188e-02 7.847330094014977053e-01
5.345300000000000051e-02 8.157083643320225397e-01
5.397899999999999920e-02 8.627062267039463661e-01
5.450400000000000383e-02 9.699853038584616005e-01
5.502499999999999752e-02 1.015155808665649584e+00
5.554599999999999815e-02 1.047506071634906499e+00
5.606599999999999778e-02 1.199914960782637152e+00
5.658799999999999941e-02 1.289905091882117993e+00
5.711199999999999610e-02 1.470225430048078152e+00
5.763400000000000467e-02 1.545639761111548438e+00
5.815500000000000530e-02 1.597662799816943702e+00
5.867699999999999999e-02 1.709176900356728535e+00
5.919899999999999468e-02 1.805008187886705251e+00
5.972200000000000425e-02 2.060451337663605109e+00
6.024399999999999894e-02 2.123171887095001598e+00
6.076700000000000157e-02 2.189083114219402049e+00
6.128700000000000120e-02 2.219420204304979549e+00
6.180899999999999589e-02 2.229849645392116386e+00
6.233400000000000052e-02 2.225291553163979419e+00
6.285699999999999621e-02 2.078042217175567252e+00
6.337800000000000378e-02 1.935810041881906196e+00
6.389799999999999647e-02 1.812030613762969145e+00
6.442000000000000504e-02 1.757360133548508507e+00
6.494500000000000273e-02 1.631620483189343718e+00
6.546599999999999642e-02 1.480675081628461509e+00
6.598700000000000399e-02 1.366486467418623896e+00
6.651100000000000068e-02 1.306034982045638948e+00
6.703200000000000824e-02 1.266482759089187615e+00
6.755200000000000093e-02 1.191256399357709217e+00
6.807499999999999662e-02 1.162192866555446180e+00
6.859800000000000619e-02 1.115935882203561436e+00
6.911899999999999988e-02 1.087566028580590372e+00
6.963900000000000645e-02 1.062975539319652496e+00
7.016300000000000314e-02 1.061585898145887885e+00
7.068599999999999883e-02 1.034830966708133015e+00
7.120799999999999352e-02 1.057622173595915482e+00
7.173000000000000209e-02 1.060477517876621034e+00
7.224800000000000666e-02 1.045574426388783618e+00
7.277000000000000135e-02 1.067595158257615751e+00
7.329399999999999804e-02 1.025506716203020252e+00
7.381899999999999573e-02 1.020535062221002542e+00
7.434100000000000430e-02 9.803497027495451377e-01
7.486099999999999699e-02 9.769952537986057450e-01
7.538100000000000356e-02 9.605825489084436342e-01
7.590299999999999825e-02 8.927682150026848840e-01
7.642600000000000782e-02 8.713723066576345433e-01
7.694800000000000251e-02 8.539419737288799217e-01
7.747000000000001108e-02 8.264864847152932903e-01
7.799100000000000477e-02 8.253555645453292122e-01
7.851299999999999946e-02 8.050866173729450681e-01
7.903599999999999515e-02 7.617165099579621401e-01
7.955699999999998884e-02 7.331202319903722397e-01
8.007699999999999541e-02 7.091877597681435219e-01
8.059700000000000197e-02 7.170023910464268235e-01
8.111999999999999766e-02 6.950439963407004651e-01
8.164299999999999335e-02 6.916968199291643193e-01
8.216500000000000192e-02 6.752681912274774989e-01
8.268799999999999761e-02 6.651975251379323995e-01
8.320800000000000418e-02 6.582982382792716969e-01
8.372900000000001175e-02 6.654259710665602068e-01
8.425200000000000744e-02 6.580103453309491535e-01
8.477399999999998825e-02 6.315581864622185071e-01
8.529399999999999482e-02 6.449371628935010037e-01
8.581699999999999051e-02 6.490069482366482845e-01
8.633899999999999908e-02 6.465336196810197444e-01
8.686199999999999477e-02 6.553147360235090924e-01
8.738499999999999046e-02 6.592051293209991725e-01
8.790499999999999703e-02 6.688154722420688314e-01
8.842600000000000460e-02 6.549359319366213628e-01
8.894600000000001117e-02 6.546197700379321471e-01
8.946799999999999198e-02 6.521774237503003002e-01
8.999000000000000055e-02 6.836968668349896472e-01
9.051299999999999624e-02 6.942942895286535743e-01
9.103500000000000481e-02 7.025377747185017618e-01
9.155399999999999650e-02 6.985140256877273579e-01
9.207399999999998919e-02 7.135209019294842525e-01
9.259599999999999775e-02 7.235417248800193324e-01
9.311899999999999344e-02 7.594475530930782092e-01
9.364100000000000201e-02 7.516549830806433796e-01
9.416199999999999570e-02 7.550001188617796455e-01
9.468300000000000327e-02 7.813290063020538190e-01
9.520699999999999996e-02 7.876252448063829625e-01
9.572900000000000853e-02 8.029855751398536912e-01
9.625200000000000422e-02 8.226754767501402998e-01
9.677199999999999691e-02 8.523777703762588365e-01
9.729399999999999160e-02 8.797610528147540299e-01
9.781700000000001505e-02 9.099269154445573937e-01
9.834000000000001074e-02 9.301844169712901733e-01
9.886300000000000643e-02 9.461332917496394490e-01
9.938400000000000012e-02 9.481309548407309551e-01
9.990499999999999381e-02 9.980161985939497438e-01
1.004299999999999915e-01 1.020920219937967222e+00
1.009499999999999981e-01 1.017739280557604875e+00
1.014700000000000046e-01 9.762351648653680991e-01
1.019899999999999973e-01 9.852028191211013031e-01
1.025200000000000000e-01 9.919479447969870023e-01
1.030400000000000066e-01 1.060011409816279393e+00
1.035600000000000132e-01 1.084185257055538143e+00
1.040800000000000058e-01 1.100788947496323278e+00
1.045999999999999985e-01 1.116391767893436748e+00
1.051300000000000012e-01 1.111781178155984096e+00
1.056499999999999939e-01 1.164325292660725486e+00
1.061700000000000005e-01 1.197906071555359109e+00
1.066899999999999932e-01 1.208534612030258470e+00
1.072099999999999997e-01 1.207831501087750503e+00
1.077299999999999924e-01 1.243716302195346790e+00
1.082600000000000090e-01 1.288315390431096663e+00
1.087800000000000017e-01 1.303162508718348267e+00
1.093000000000000083e-01 1.281444681912751848e+00
1.098200000000000010e-01 1.291718732223274380e+00
1.103400000000000075e-01 1.298909247030297864e+00
1.108699999999999963e-01 1.300728131906139673e+00
1.113899999999999890e-01 1.326771728566800812e+00
1.119099999999999956e-01 1.300996290747508777e+00
1.124300000000000022e-01 1.287065219201380728e+00
1.129499999999999948e-01 1.337426200393597941e+00
1.134699999999999875e-01 1.325600017558553834e+00
1.140000000000000041e-01 1.345122177069045355e+00
1.145200000000000107e-01 1.320206337839944677e+00
