# q[1/nm]	S(q)
2.006199999999999997e-02 8.843094331478253828e-03
2.058400000000000160e-02 9.621342850419638965e-03
2.111099999999999782e-02 9.683898636723023076e-03
2.163399999999999698e-02 9.567868591047398730e-03
2.215400000000000008e-02 9.817327939250244245e-03
2.267100000000000365e-02 9.930531493234848184e-03
2.319500000000000034e-02 9.933697751413986601e-03
2.372099999999999903e-02 1.006125736012462683e-02
2.424400000000000166e-02 1.020390278102360250e-02
2.476400000000000129e-02 1.057141178047826292e-02
2.528299999999999992e-02 1.094563737162045948e-02
2.579899999999999902e-02 1.107777305404220036e-02
2.632499999999999771e-02 1.087583232408359697e-02
2.685200000000000087e-02 1.156531456770452763e-02
2.737299999999999803e-02 1.199385469506860855e-02
2.789200000000000013e-02 1.257569069408392796e-02
2.841099999999999876e-02 1.326700552467043742e-02
2.893300000000000038e-02 1.413992646560450345e-02
2.945699999999999708e-02 1.432242046966311980e-02
2.998400000000000024e-02 1.458897292176891854e-02
3.050399999999999986e-02 1.541531053546747396e-02
3.102000000000000243e-02 1.669854894342465146e-02
3.154400000000000259e-02 1.704760629650172929e-02
3.207000000000000128e-02 1.721372080867617296e-02
3.259399999999999797e-02 1.817437493656325065e-02
3.311399999999999760e-02 1.809803710922512632e-02
3.363300000000000317e-02 1.834975263126084610e-02
3.415300000000000280e-02 1.839496179010924326e-02
3.467800000000000049e-02 2.023867798727275666e-02
3.520199999999999718e-02 2.194241123410843597e-02
3.572200000000000375e-02 2.281422625307413105e-02
3.624299999999999744e-02 2.495373043094372897e-02
3.676299999999999707e-02 2.749375341781678389e-02
3.728599999999999970e-02 2.903923962965662686e-02
3.780899999999999539e-02 3.101446371217005116e-02
3.833200000000000496e-02 3.398323060953378771e-02
3.885500000000000065e-02 3.629810583130015089e-02
3.937200000000000422e-02 3.987504632816222389e-02
3.989199999999999691e-02 4.409539187459660114e-02
4.041499999999999954e-02 4.665913677644252522e-02
4.093800000000000217e-02 5.201734787751346317e-02
4.146099999999999786e-02 5.731683007960929749e-02
